date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:42	175485/175485	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/prod-global-32324.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/prod-global-32324.js.download	(from )
17:00:42	15862/15862	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/embeds.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/embeds.js.download	(from )
17:00:42	198201/198201	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/mi-1.13.6.0.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/mi-1.13.6.0.js.download	(from )
17:00:42	113941/113941	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/pmk-202003261.5.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/pmk-202003261.5.js.download	(from )
17:00:42	6355/6355	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/afphChild.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/afphChild.js.download	(from )
17:00:42	149/149	--FM--	200	added ('OK')	text/html		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/saved_resource(3).html	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/saved_resource(3).html	(from )
17:00:42	143/143	--FM--	200	added ('OK')	application/json		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/eyJjb25maWciOmZhbHNlfQ==.json	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/eyJjb25maWciOmZhbHNlfQ==.json	(from )
17:00:42	83801/83801	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/UnitFeedManagerDesktop.min.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/UnitFeedManagerDesktop.min.js.download	(from )
17:00:42	36163/36163	--FM--	200	added ('OK')	text/css		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/cmOsUnit.css	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/cmOsUnit.css	(from )
17:00:42	3958/3958	--FM--	200	added ('OK')	text/css		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/outstreamv3.css	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/outstreamv3.css	(from )
